City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain in Inches (last 3 hours),Snow in Inches (last 3 hours)
198,Cacule,BR,2020-05-10 20:48:05,-14.5,-42.22,71.67,66,53,9.42,broken clouds,0.0,0.0
199,Raga,SS,2020-05-10 20:48:05,8.46,25.68,76.05,74,100,5.64,overcast clouds,0.0,0.0
200,Kyren,RU,2020-05-10 20:48:06,51.68,102.14,51.13,54,76,3.58,broken clouds,0.0,0.0
201,Kargasok,RU,2020-05-10 20:48:06,59.06,80.86,64.06,50,77,2.55,broken clouds,0.0,0.0
202,Havoysund,NO,2020-05-10 20:48:06,71.0,24.66,35.6,69,15,6.93,few clouds,0.0,0.0
203,Atambua,ID,2020-05-10 20:48:06,-9.11,124.89,69.94,85,17,4.99,few clouds,0.0,0.0
204,Barra Patuca,HN,2020-05-10 20:48:06,15.8,-84.28,81.25,82,100,7.63,overcast clouds,0.0,0.0
205,Assiniboia,CA,2020-05-10 20:48:06,49.63,-105.98,44.91,50,51,7.54,broken clouds,0.0,0.0
206,Vastervik,CA,2020-05-10 20:48:06,49.63,-105.98,44.91,50,51,7.54,broken clouds,0.0,0.0
207,Haines Junction,CA,2020-05-10 20:48:06,60.75,-137.51,64.13,34,0,4.09,clear sky,0.0,0.0
208,Kodinsk,RU,2020-05-10 20:48:06,58.69,99.18,41.31,65,81,1.03,broken clouds,0.0,0.0
209,Huntingdon,GB,2020-05-10 20:48:07,52.33,-0.19,44.01,65,76,11.99,broken clouds,0.0,0.0
210,Bonavista,CA,2020-05-10 20:48:07,48.65,-53.11,35.08,88,88,23.82,overcast clouds,0.0,0.0
211,Arraias,BR,2020-05-10 20:48:07,-12.93,-46.94,71.91,82,3,4.79,clear sky,0.0,0.0
212,Kholtoson,RU,2020-05-10 20:48:07,50.3,103.31,41.5,65,65,4.72,broken clouds,0.0,0.0
213,Tanout,NE,2020-05-10 20:48:07,14.97,8.89,84.0,14,33,3.4,scattered clouds,0.0,0.0
214,Bo Phloi,TH,2020-05-10 20:48:07,14.32,99.52,83.14,70,87,3.15,overcast clouds,0.0,0.0
215,Bambous Virieux,MU,2020-05-10 20:48:07,-20.34,57.76,73.4,56,40,9.17,scattered clouds,0.0,0.0
216,Krasnoarmeysk,RU,2020-05-10 20:48:07,51.02,45.7,51.01,83,0,4.0,clear sky,0.0,0.0
217,Kieta,PG,2020-05-10 20:48:08,-6.22,155.63,82.13,74,60,2.21,broken clouds,0.0,0.0
218,Walvis Bay,NA,2020-05-10 20:48:08,-22.96,14.51,76.24,32,0,10.31,clear sky,0.0,0.0
219,Loksa,EE,2020-05-10 20:48:08,59.58,25.72,55.4,50,82,6.93,broken clouds,0.0,0.0
220,Salinas,US,2020-05-10 20:47:36,36.68,-121.66,66.99,59,1,11.41,clear sky,0.0,0.0
221,Port Macquarie,AU,2020-05-10 20:48:08,-31.43,152.92,46.99,79,2,11.74,clear sky,0.0,0.0
222,Asosa,ET,2020-05-10 20:48:08,10.07,34.53,69.73,68,6,1.77,clear sky,0.0,0.0
223,Vylgort,ET,2020-05-10 20:48:08,10.07,34.53,69.73,68,6,1.77,clear sky,0.0,0.0
224,Ola,RU,2020-05-10 20:48:08,59.58,151.28,36.9,80,74,3.56,broken clouds,0.0,0.0
225,Bloomington,US,2020-05-10 20:48:09,44.84,-93.3,48.2,49,90,14.99,overcast clouds,0.0,0.0
226,Castro,BR,2020-05-10 20:48:09,-24.79,-50.01,59.45,84,0,4.38,clear sky,0.0,0.0
